horse_name,program,pp,race,dt_s,dt_wp,dt_pp,dt_sp,dt_ip,dt_rp,dh_s,dh_wp,dh_pp,dh_sp,dh_ip,dh_rp,th_s,th_wp,th_pp,th_sp,th_ip,th_rp,sc_avgcr,sc_avgsr,sc_hisr,pc_sty_q1,pc_sty_q2,pc_sty_q3,pc_sty_fn,pc_sty_r,pc_fig_q1,pc_fig_q2,pc_fig_q3,pc_fig_q4,pc_fig_cp,pc_fig_r,tr_hs_brk,tr_hs_pkal,tr_hs_pkq1,tr_hs_pkq2,tr_hs_pkq3,cpr_speed,cpr_class,cpr_pace,cpr_eps,cpr_prepow,cpr_drvhrs,cpr_winst,cpr_off,cpr_fitnes,cpr_drv_wp,cpr_pp_rp,cpr_drv_rp,cpr_drp_rp,cpr_break,cpr_pace_l,cpr_trn_wp,cpr_trn_rp,rca91_al_s,rca91_al_1,rca91_al_2,rca91_al_3,rca91_of_s,rca91_of_1,rca91_of_2,rca91_of_3,rcaty_s,rcaty_1,rcaty_2,rcaty_3,rcaly_s,rcaly_1,rcaly_2,rcaly_3,rct91_al_s,rct91_al_1,rct91_al_2,rct91_al_3,rct91_of_s,rct91_of_1,rct91_of_2,rct91_of_3,rctty_s,rctty_1,rctty_2,rctty_3,rctly_s,rctly_1,rctly_2,rctly_3,era91al_s,era91al_wp,era91al_pp,era91al_sp,era91al_ip,era91al_rp,era91al_pd,era91al_sd,era91of_s,era91of_wp,era91of_pp,era91of_sp,era91of_ip,era91of_rp,era91of_pd,era91of_sd,eratyal_s,eratyal_wp,eratyal_pp,eratyal_sp,eratyal_ip,eratyal_rp,eratyal_pd,eratyal_sd,eralyal_s,eralyal_wp,eralyal_pp,eralyal_sp,eralyal_ip,eralyal_rp,eralyal_pd,eralyal_sd,era06al_s,era06al_wp,era06al_pp,era06al_sp,era06al_ip,era06al_rp,era06al_pd,era_apv,ert91al_s,ert91al_wp,ert91al_pp,ert91al_sp,ert91al_ip,ert91al_rp,ert91al_pd,ert91al_sd,ert91of_s,ert91of_wp,ert91of_pp,ert91of_sp,ert91of_ip,ert91of_rp,ert91of_pd,ert91of_sd,erttyal_s,erttyal_wp,erttyal_pp,erttyal_sp,erttyal_ip,erttyal_rp,erttyal_pd,erttyal_sd,ertlyal_s,ertlyal_wp,ertlyal_pp,ertlyal_sp,ertlyal_ip,ertlyal_rp,ertlyal_pd,ertlyal_sd,ert06al_s,ert06al_wp,ert06al_pp,ert06al_sp,ert06al_ip,ert06al_rp,ert06al_pd,btty_time,btty_trk,btty_size,btty_age,btty_race,btly_time,btly_trk,btly_size,btly_age,btly_race,bt91_time,bt91_trk,bt91_size,bt91_age,bt91_race,bttt_time,bttt_trk,bttt_size,bttt_age,bttt_race,cl_date,cl_recent,cl_clmpric,cl_clmfrom,cl_1offclw,cl_1offcls,cl_2offclw,cl_2offcls,cl_14_lo_w,cl_14_lo_s,cl_31_lo_w,cl_31_lo_s,me_lasixto,me_buteto,me_hopfree,morn_odds,power_symb,saddleclth,age,sex,color,power,breed_name,breed_locn,owner_name,owner_locn,claimprice,rank_power,rank_speed,rank_class,rank_pace,mudmark,daysago,era91na_pd,lastxraces,eralxal_pd,regno,btty_tmc,btly_tmc,bt91_tmc,bttt_tmc,horseratin,trainer,driver,sire,dam,ppdata,CPR_Composite,CPR_Color,CPR_Rank,CPR_Prob,Fair_Prob,Fair_Odds_Dec,Fair_Odds_Frac,ML_Prob,Overlay_Diff,Value_Flag,CPR_Delta,Tier,Chaos_Index,Chaos_Label
SHE'S SPICY,7,7,13,3,33,33,0,66,20,1,100,0,0,100,260,16,13,6,31,50,-68,79,79,83,4.6,4.3,4.1,3.8,10,79,73,80,84,79,5,0,6,2,8,10,79.0,79.0,73.7,89.7,80.0,99.8,65.4,40.2,53.5,63.5,51.5,75.7,96.9,80.0,84.0,75.4,70.9,49,5,6,12,1,0,0,0,23,2,2,7,18,3,2,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,49,10,12,24,47,-44,118638,2421,1,0,0,0,0,-100,5000,5000,23,9,9,30,48,-78,34061,1481,18,17,11,17,44,23,41605,2311,6,0,17,50,67,-100,6341,1.0,1,0,0,0,0,-100,435,435,0,0,0,0,0,-999,0,0,0,0,0,0,0,-999,0,0,1,0,0,0,0,-100,435,435,1,0,0,0,0,-100,435,1:57.4,TGDN,5/8,4,,1:53.8,LEX,1,3,,1:53.8,LEX,1,3,,,,,0,,0,,0.0,,0,0,0,0,0,2,0,2,L,,,6/1,,Pink,4,m,br,74.2,"Randy J Wilt,MO",MO,"Morrison Racing Stables,Indiana,PA",,0,5,1,3,1,,55,118638,5,5381,3WB129,117.4,113.8,113.8,999.0,78.32,,,,,,67.8,🔴,2,0.1046,0.1046,9.56,8.56/1,0.14285714285714285,-0.038,,0.7,A,2.6,Low
PARODY,8,8,13,45,7,11,11,29,-11,32,9,16,16,41,24,34,9,18,15,42,17,77,76,81,5.9,5.7,6.0,4.6,10,84,81,69,71,76,5,0,4,4,3,7,76.0,77.0,72.2,75.9,80.0,72.1,63.5,78.7,61.8,68.7,70.8,76.7,120.0,80.0,71.0,67.1,120.0,146,13,22,20,21,4,3,3,30,3,5,5,40,6,5,5,29,3,3,4,2,0,1,0,21,3,2,4,2,0,0,0,146,9,15,14,38,-40,128953,883,21,19,14,14,47,-4,22494,1071,30,10,17,17,43,32,31910,1064,40,15,13,13,40,-13,28239,706,6,0,33,17,50,-100,5710,0.8,29,10,10,14,34,37,29190,1007,2,0,50,0,50,-100,2585,1293,21,14,10,19,43,89,24760,1179,2,0,0,0,0,-100,555,278,6,0,17,17,34,-100,4765,1:53.8,M,1,7,,1:58.4,FHLD,1/2,6,,1:53.8,M,1,7,,1:53.8,M,1.0,7,,0,,0.0,,0,0,0,0,0,6,0,0,L,,,3/1,,Gray,7,g,b,72.2,"Diamond Creek Farm LLC,PA;Melvin Hartman,ON, CA",PA,"Robert Dinerman,Howard Beach,NY",,0,7,5,7,3,,7,128953,5,5710,0S6898,113.8,118.4,113.8,113.8,76.82,,,,,,68.5,🔴,1,0.1057,0.1057,9.46,8.46/1,0.25,-0.144,,0.0,A,2.6,Low
VELOCIRAPTOR,9,9,13,34,9,15,6,30,-49,14,7,21,7,35,-70,38,18,8,5,31,-34,79,77,79,7.3,7.1,6.3,4.4,10,73,81,73,78,76,5,6,7,3,5,14,77.0,79.0,71.2,84.4,80.0,74.8,78.4,70.2,83.3,61.6,82.1,37.7,0.0,75.9,78.0,74.2,81.3,83,17,5,5,13,3,0,0,34,6,3,2,33,8,0,3,15,3,1,1,1,0,0,0,13,3,1,1,2,0,0,0,83,20,6,6,33,-23,137910,1662,13,23,0,0,23,8,15149,1165,34,18,9,6,32,-38,56044,1648,33,24,0,9,33,10,45052,1365,6,33,33,0,66,40,15180,1.1,15,20,7,7,34,-17,21330,1422,1,0,0,0,0,-100,285,285,13,23,8,8,39,-4,19830,1525,2,0,0,0,0,-100,1500,750,6,33,0,0,33,40,10720,1:54.8,M,1,5,,1:55.4,PHL,5/8,4,,1:54.8,M,1,5,,1:54.8,M,1.0,5,,0,,0.0,,0,0,0,0,1,8,0,0,L,,,9/2,,Purple,5,g,b,79.2,"Kemppi Stables Oy Inc & Suojalampi Stable Inc,FL",KY,"Hero Stables,Goshen,NY;Cote J Keim,Cream Ridge,NJ",,0,1,2,3,3,D,7,137910,5,14380,4V6194,114.8,115.4,114.8,114.8,76.9,,,,,,67.4,🔴,3,0.104,0.104,9.62,8.62/1,0.18181818181818182,-0.078,,1.1,A,2.6,Low
CRAIGIEBURN,10,10,13,6,17,17,17,51,450,0,0,0,0,0,-999,5,0,20,0,20,-100,80,77,81,7.8,7.2,6.5,4.4,10,77,82,82,72,78,5,40,9,5,9,14,77.0,80.0,70.9,82.3,80.0,40.2,57.3,79.5,49.1,68.7,59.3,65.7,120.0,25.0,72.0,63.5,72.8,47,3,8,6,6,1,1,0,22,1,3,5,17,2,4,1,18,1,3,5,2,0,1,0,14,1,2,5,1,0,0,0,47,6,17,13,36,-65,66615,1417,6,17,17,0,34,-40,11915,1986,22,5,14,23,41,-57,24995,1136,17,12,24,6,41,-60,28539,1679,6,0,17,17,34,-100,6063,1.4,18,6,17,28,51,-48,29055,1614,2,0,50,0,50,-100,3845,1923,14,7,14,36,57,-33,21120,1509,1,0,0,0,0,-100,435,435,6,17,0,50,67,53,9719,1:54.0,M,1,4,,1:55.8,WBSB,7/8,3,,1:54.0,M,1,4,,1:54.0,M,1.0,4,,0,,0.0,,0,0,0,0,0,12,0,0,L,,,20/1,,Blue-Red,4,h,b,73.2,"W J Donovan,FL",NJ,"Jaypaul R Hoover,Ephrata,PA",,0,6,2,2,2,,16,66615,5,3875,0WC248,114.0,115.8,114.0,114.0,78.3,,,,,,61.6,🔴,9,0.0951,0.0951,10.52,9.52/1,0.047619047619047616,0.047,VALUE,6.9,B,2.6,Low
THANEEYA,1,1,14,44,11,23,9,43,55,32,13,28,13,54,105,39,13,23,13,49,72,71,66,69,2.7,3.1,3.7,4.8,10,87,71,61,44,65,5,0,3,5,3,1,66.0,71.0,66.9,78.7,80.0,84.0,71.6,78.0,65.7,68.7,81.2,76.7,80.4,80.5,44.0,55.0,46.9,205,29,35,32,28,6,3,3,34,3,8,5,17,3,1,3,55,5,8,5,9,1,0,0,33,3,8,4,4,0,0,0,205,14,17,16,47,-14,223782,1092,28,21,11,11,43,14,38705,1382,34,9,24,15,47,89,34720,1021,17,18,6,18,41,-74,11332,667,6,0,0,17,17,-100,2060,1.0,55,9,15,9,33,45,50447,917,9,11,0,0,11,20,6600,733,33,9,24,12,45,95,34180,1036,4,0,0,0,0,-100,1280,320,6,0,0,17,17,-100,2240,1:53.6,M,1,9,,1:57.8,OD,1/2,8,,1:53.6,M,1,9,,1:53.6,M,1.0,9,,0,,0.0,,0,0,0,0,0,4,0,2,,,,8/1,,Red,9,m,b,69.5,"Steve H Stewart,KY;Lomangino Standardbreds,NJ",KY,"Janet M Burris,West Deptford,NJ",,0,3,8,5,8,,6,223782,5,1520,0P2579,113.6,117.8,113.6,113.6,65.31,,,,,,59.1,⚫,6,0.0996,0.0996,10.04,9/1,0.1111111111111111,-0.012,,3.7,B,1.95,Low
SWEET SANDY,2,2,14,0,0,0,0,0,-999,0,0,0,0,0,-999,0,0,0,0,0,-999,71,69,74,2.7,2.6,3.3,4.9,10,65,86,71,51,67,5,0,3,3,3,3,69.0,71.0,67.2,81.4,80.0,40.2,61.6,91.6,39.6,71.6,88.9,45.8,105.9,80.5,51.0,73.0,90.6,73,6,20,10,7,2,2,1,29,2,3,4,29,3,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,8,27,14,49,-29,96955,1328,7,29,29,14,72,4,12190,1741,29,7,10,14,31,-21,24240,836,29,10,45,14,69,-17,46365,1599,6,0,0,33,33,-100,2280,1.3,0,0,0,0,0,-999,0,0,0,0,0,0,0,-999,0,0,0,0,0,0,0,-999,0,0,0,0,0,0,0,-999,0,0,0,0,0,0,0,-999,0,1:55.0,PRC,5/8,4,,1:53.4,HOP,7/8,3,,1:53.4,HOP,7/8,3,,,,,0,,0,,0.0,,0,0,0,0,0,2,0,2,L,,,10/1,,Blue,4,m,br,69.4,"Lavon L Miller,IN",IN,"William J Mackenzie,Cranbury,NJ;Donald B Witkowski,Bridgewater,NJ",,0,4,2,5,3,,16,96955,5,1080,1W6843,115.0,113.4,113.4,999.0,67.34,,,,,,60.3,🔴,3,0.1016,0.1016,9.84,8.84/1,0.09090909090909091,0.011,,2.5,A,1.95,Low
STARLITSIMPLE RIG,3,3,14,10,0,10,20,30,-100,3,0,0,0,0,-100,33,3,9,6,18,116,73,67,69,3.3,3.2,3.6,4.6,10,71,67,74,58,67,5,0,8,5,9,11,67.0,73.0,66.7,73.4,80.0,40.2,68.7,71.1,65.7,49.9,60.4,35.4,0.0,80.5,58.0,61.6,98.5,129,15,10,16,17,3,1,3,30,1,3,1,23,2,1,5,12,1,0,0,3,1,0,0,3,0,0,0,1,0,0,0,129,12,8,12,32,67,94479,732,17,18,6,18,42,47,14203,835,30,3,10,3,17,137,10989,366,23,9,4,22,35,224,9535,415,6,17,0,0,17,1086,3825,0.7,12,8,0,0,8,66,6130,511,3,33,0,0,33,563,4255,1418,3,0,0,0,0,-100,975,325,1,0,0,0,0,-100,255,255,6,0,0,0,0,-100,1230,2:00.8,STGA,1/2,7,,1:59.4,MR,1/2,6,,1:52.8,HOP,7/8,2,,1:55.0,M,1.0,5,,0,,0.0,,0,0,0,0,0,6,0,2,L,,,20/1,,White,7,m,br,66.0,"John D Wagler & Stephen Stoll,IN",IN,"Tiffany Lynn Barrett,Hopewell Junction,NY",,0,10,4,2,3,D,9,94479,5,3825,0S4083,120.8,119.4,112.8,115.0,66.23,,,,,,60.1,🔴,5,0.1013,0.1013,9.87,8.87/1,0.047619047619047616,0.054,VALUE,2.7,A,1.95,Low
EA MUSHU,4,4,14,24,29,21,13,63,9,18,28,17,17,62,2,37,19,8,11,38,-2,68,63,67,5.0,5.0,5.0,5.2,10,69,63,57,62,62,5,0,7,4,9,8,63.0,68.0,65.1,76.8,80.0,86.2,74.2,85.2,76.5,78.4,48.1,68.8,57.1,80.5,62.0,73.0,64.7,120,19,15,20,14,5,1,3,33,7,3,3,44,6,8,6,46,9,3,3,5,2,0,1,33,7,3,3,12,2,0,0,120,16,13,17,45,-24,113311,944,14,36,7,21,64,1,18321,1309,33,21,9,9,39,8,38705,1173,44,14,18,14,45,-24,31810,723,6,17,17,0,34,-34,6760,1.0,46,20,7,7,34,10,50281,1093,5,40,0,20,60,54,8640,1728,33,21,9,9,39,8,38705,1173,12,17,0,0,17,23,11576,965,6,17,17,0,34,-34,6760,1:54.4,M,1,5,,1:53.4,M,1,4,,1:53.4,M,1,4,,1:53.4,M,1.0,4,,0,,0.0,,0,0,0,0,0,1,0,2,L,,,3/1,,Green,5,m,b,67.4,"Ryan W Smith,OH",OH,"Victoria K D'Alessandro,Cranford,NJ",,0,8,10,10,10,H,6,113311,5,6520,4V6251,114.4,113.4,113.4,113.4,63.57,,,,,,62.8,🔴,1,0.1058,0.1058,9.45,8.45/1,0.25,-0.144,,0.0,A,1.95,Low
COSTA DIVA,5,5,14,2,50,0,0,50,0,0,0,0,0,0,-999,25,12,4,12,28,85,70,67,75,3.9,3.9,4.4,3.7,10,80,61,62,65,67,5,0,4,4,2,8,67.0,70.0,66.0,80.8,80.0,40.2,63.5,40.2,83.3,67.1,58.2,74.8,0.0,80.5,65.0,74.2,81.3,34,3,4,4,4,0,0,1,25,3,1,3,4,0,1,1,12,0,0,3,1,0,0,1,12,0,0,3,0,0,0,0,34,9,12,12,32,36,43400,1276,4,0,0,25,25,-100,1320,330,25,12,4,12,28,85,22205,888,4,0,25,25,50,-100,7400,1850,6,33,17,0,50,592,10325,1.2,12,0,0,25,25,-100,5855,488,1,0,0,100,100,-100,720,720,12,0,0,25,25,-100,5855,488,0,0,0,0,0,-999,0,0,6,0,0,50,50,-100,3635,1:54.4,PCD,5/8,4,,,,,0,,1:54.4,PCD,5/8,4,,,,,0,,0,,0.0,,0,0,0,0,0,0,0,2,L,,,5/1,,Black,4,m,b,69.4,"Scott C Kimelman & Sheila M Baird,NY",NY,"Cote J Keim,Cream Ridge,NJ",,0,4,4,7,3,S,4,43400,5,10325,4W0626,114.4,999.0,114.4,999.0,69.7,,,,,,61.5,🔴,2,0.1037,0.1037,9.64,8.64/1,0.16666666666666666,-0.063,,1.3,A,1.95,Low
MAGA BLUES,6,6,14,0,0,0,0,0,-999,0,0,0,0,0,-999,9,11,11,0,22,-63,69,68,80,6.5,6.2,5.8,4.2,9,58,66,79,74,69,4,0,4,0,6,6,68.0,69.0,63.9,81.8,80.0,40.2,60.3,40.2,57.7,59.5,75.7,87.3,120.0,80.5,74.0,67.1,64.7,9,1,1,0,0,0,0,0,9,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,9,11,11,0,22,-63,12350,1372,0,0,0,0,0,-999,0,0,9,11,11,0,22,-63,12350,1372,0,0,0,0,0,-999,0,0,6,17,0,0,17,-46,9200,1.5,2,0,0,0,0,-100,1750,875,0,0,0,0,0,-999,0,0,2,0,0,0,0,-100,1750,875,0,0,0,0,0,-999,0,0,2,0,0,0,0,-100,1750,1:55.8,PHL,5/8,3,,,,,0,,1:55.8,PHL,5/8,3,,,,,0,,0,,0.0,,0,0,0,0,0,2,1,2,1L,,,4/1,,Yellow,3,f,b,69.6,"William J Augustine,NJ",NJ,"William J Augustine,Hammonton,NJ",,0,2,3,8,2,S,14,12350,5,8600,2XG533,115.8,999.0,115.8,999.0,69.37,,,,,,60.2,🔴,4,0.1015,0.1015,9.85,8.85/1,0.2,-0.098,,2.6,A,1.95,Low
WISCO HALF PINT,7,7,14,24,4,0,8,12,-92,0,0,0,0,0,-999,17,18,18,6,42,-40,69,65,70,3.8,3.8,4.4,4.2,10,65,74,65,54,64,5,6,9,3,9,15,65.0,69.0,66.1,88.0,80.0,40.2,71.6,40.2,61.8,73.0,51.5,61.5,5.3,65.0,54.0,65.4,49.2,29,4,5,2,1,0,0,0,17,3,3,1,12,1,2,1,3,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0,29,14,17,7,38,102,62163,2144,1,0,0,0,0,-100,1360,1360,17,18,18,6,41,-40,29923,1760,12,8,17,8,33,371,32240,2687,6,0,17,0,17,-100,2320,2.2,3,0,33,0,33,-100,2320,773,0,0,0,0,0,-999,0,0,3,0,33,0,33,-100,2320,773,0,0,0,0,0,-999,0,0,3,0,33,0,33,-100,2320,1:55.2,ACES,5/8,3,,1:57.4,ACES,5/8,2,,1:55.2,ACES,5/8,3,,,,,0,,0,,0.0,,0,0,0,0,0,2,0,0,L,,,6/1,,Pink,3,f,b,68.3,"Harlan Nolt,WI",WI,"David A Dobbelmann,Forest Lake,MN;Adrian E Marin,Englishtown,NJ",,0,7,9,8,9,U,6,62163,5,2320,9XB935,115.2,117.4,115.2,999.0,63.11,,,,,,56.3,⚫,10,0.0949,0.0949,10.54,9.54/1,0.14285714285714285,-0.048,,6.5,B,1.95,Low
HD LABBATOY,8,8,14,1,0,0,0,0,-100,1,0,0,0,0,-100,30,13,23,7,43,-51,73,67,72,4.7,5.2,5.6,4.5,10,62,75,65,68,67,5,0,3,2,2,7,67.0,73.0,64.9,79.6,80.0,40.2,74.2,78.7,53.5,68.7,70.8,65.7,120.0,80.5,68.0,57.3,12.8,32,5,7,2,3,0,1,0,28,4,6,2,4,1,1,0,2,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,32,16,22,6,44,-26,37278,1165,3,0,33,0,33,-100,2000,667,28,14,21,7,43,-48,31653,1130,4,25,25,0,50,127,5625,1406,6,0,17,17,34,-100,3360,0.9,2,0,50,0,50,-100,2080,1040,0,0,0,0,0,-999,0,0,2,0,50,0,50,-100,2080,1040,0,0,0,0,0,-999,0,0,2,0,50,0,50,-100,2080,1:56.0,VD,7/8,5,,1:59.0,STGA,1/2,4,,1:56.0,VD,7/8,5,,,,,0,,0,,0.0,,0,0,0,0,0,4,0,3,,,,8/1,,Gray,5,m,b,68.9,"Daniel V Meier,NY",NY,"Daniel V Meier,Fort Covington,NY",,0,6,4,2,3,,13,37278,5,3360,7V3327,116.0,119.0,116.0,999.0,67.18,,,,,,58.2,⚫,7,0.0981,0.0981,10.19,9.19/1,0.1111111111111111,-0.013,,4.6,B,1.95,Low
CATCH SOME SUN,9,9,14,59,2,7,12,21,-93,3,0,0,0,0,-100,5,0,0,0,0,-100,74,71,73,8.2,7.9,7.8,7.8,10,68,74,70,72,70,5,0,3,0,5,6,71.0,74.0,62.1,81.3,80.0,40.2,61.6,72.1,65.7,44.2,82.1,1.8,0.0,80.5,72.0,61.6,51.5,65,5,9,6,4,0,1,0,30,1,5,2,23,4,3,4,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,65,8,14,9,31,-73,85944,1322,4,0,25,0,25,-100,3757,939,30,3,17,7,27,-77,34721,1157,23,17,13,17,48,-56,40911,1779,6,0,0,0,0,-100,1290,1.4,5,0,0,0,0,-100,1290,258,0,0,0,0,0,-999,0,0,5,0,0,0,0,-100,1290,258,0,0,0,0,0,-999,0,0,5,0,0,0,0,-100,1290,1:57.4,HAR,1/2,4,,1:56.6,HAR,1/2,3,,1:56.6,HAR,1/2,3,,,,,0,,0,,0.0,,0,0,0,0,0,6,0,2,L,,,6/1,L,Purple,4,m,b,70.8,"Robert Mctsh Stbs Inc & Al Mctsh Hlds Inc,ON",ON,"Ivan S Llopez,Farmingdale,NJ",,0,1,1,1,1,,6,85943,5,1290,3WN551,117.4,116.6,116.6,999.0,69.28,,,,,,58.1,⚫,8,0.0979,0.0979,10.21,9.21/1,0.14285714285714285,-0.045,,4.7,B,1.95,Low
GIRL ALMIGHTY,10,10,14,0,0,0,0,0,-999,0,0,0,0,0,-999,29,3,7,17,27,-94,73,67,69,12.0,10.8,10.3,8.2,10,58,70,80,62,67,5,0,13,3,9,28,67.0,73.0,59.0,73.9,80.0,40.2,65.4,70.2,73.0,63.5,59.3,75.7,94.5,80.5,62.0,52.5,11.1,261,27,42,35,39,4,5,8,24,0,2,3,27,7,4,3,30,0,0,1,3,0,0,1,9,0,0,0,0,0,0,0,261,10,16,13,40,-42,198735,761,39,10,13,21,44,-72,29957,768,24,0,8,13,21,-100,6842,285,27,26,15,11,52,129,26832,994,6,0,33,0,33,-100,2090,0.7,30,0,0,3,3,-100,24490,816,3,0,0,33,33,-100,2040,680,9,0,0,0,0,-100,2400,267,0,0,0,0,0,-999,0,0,6,0,0,0,0,-100,1560,,,,0,,1:56.2,FHLD,1/2,8,,1:55.0,OD,1/2,6,,,,,0,,0,,0.0,,0,0,0,0,0,6,0,2,,,,20/1,,Blue-Red,9,m,b,66.1,"John Joseph Urbanski,NJ",NJ,"John Joseph Urbanski,Bridgeton,NJ",,0,9,4,2,3,,6,198735,5,2090,8P7134,999.0,116.2,115.0,999.0,67.86,,,,,,56.7,⚫,9,0.0956,0.0956,10.46,9.46/1,0.047619047619047616,0.048,VALUE,6.1,B,1.95,Low
